시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,586584,141875,532342,4399339,63245,1644099,411748,193538,1043441,3158,9019369
경기,60133,833553,1992214,22805307,158712,1826529,25873,492767,835954,33896,29064938
경남,190994,277390,1007136,7448326,76143,1167505,43224,387112,67852,10741,10676423
경북,1917316,348300,960415,9374056,95905,3180131,1362213,26226,1389438,13286,18667286
광주,4668,55579,99103,1277803,16687,82597,65,2936,2575,2166,1544179
대구,22795,115846,206611,2308179,31885,163186,225,36069,612151,5874,3502821
대전,5883,66047,131276,1364851,20290,88419,201,3851,2995,3501,1687314
바다,0,0,3338527,0,0,0,0,0,0,0,3338527
부산,18415,111374,1381465,4698090,45366,91864,21250,68330,136973,2976,6576103
서울,33218,230795,632241,6820812,118231,149967,0,30267,465,11391,8027387
세종,1482,20118,43198,598229,2263,77056,4,21520,5044,2741,771655
울산,7824,60551,615744,1450011,22233,128600,909549,283930,558345,21756,4058543
인천,7922,150192,666580,4983322,46685,130557,136197,314486,19830,7557,6463328
전남,24672,178706,1696027,6573950,106541,1288622,2327575,259451,392212,14227,12861983
전북,17171,161324,467150,5703893,56318,1179638,65389,75000,24874,11766,7762523
제주,3755,62195,659923,2119967,20572,188349,45,33028,120,1523,3089477
충남,33723,240959,945958,7090446,60324,1454456,1332904,996477,182874,9894,12348015
충북,10973,198410,317628,5073878,46517,1814521,151391,4582,1263381,13587,8894868
